Day,Bar,H,M,S
12,5,7,16,49
12,5,7,17,39
12,5,7,18,29
12,5,7,19,19
12,5,7,20,9
12,5,8,5,59
12,5,8,6,49
12,5,8,7,39
12,5,8,8,29
12,5,8,9,19
12,5,8,10,9
12,5,9,0,9
12,5,5,56,53
12,5,5,57,43
12,5,5,58,33
12,5,5,59,23
12,5,6,46,53
12,5,6,47,43
12,5,6,48,33
12,5,6,49,23
12,5,6,50,13
12,5,6,51,3
12,5,7,36,53
12,5,7,37,43
12,5,7,38,33
12,5,7,39,23
12,5,7,40,13
12,5,7,41,3
12,5,8,26,53
12,5,8,27,43
12,5,8,28,33
12,5,8,29,23
12,5,8,30,13
12,5,8,31,3
12,5,9,16,53
12,5,9,17,43
12,5,9,18,33
12,5,9,19,23
12,5,9,20,13
12,5,9,21,3
12,5,10,6,53
12,5,10,7,43
12,5,10,8,33
12,5,10,9,23
12,5,10,10,13
12,5,10,11,3
12,5,11,0,13
12,5,11,1,3
12,5,9,55,51
12,5,9,56,41
12,5,9,57,31
12,5,9,58,21
12,5,9,59,11
12,5,10,45,51
12,5,10,46,41
12,5,10,47,31
12,5,10,48,21
12,5,10,49,11
12,5,10,50,1
12,5,11,35,51
12,5,11,36,41
12,5,11,37,31
12,5,11,38,21
12,5,11,39,11
12,5,11,40,1
12,5,12,25,51
12,5,12,26,41
12,5,12,27,31
12,5,12,28,21
12,5,12,29,11
12,5,12,30,1
12,5,13,15,51
12,5,13,16,41
12,5,13,17,31
12,5,13,18,21
12,5,13,19,11
12,5,13,20,1
12,5,14,5,51
12,5,14,6,41
12,5,14,7,31
12,5,14,8,21
12,5,14,9,11
12,5,14,10,1
12,5,15,0,1
12,5,13,53,59
12,5,13,54,49
12,5,13,55,39
12,5,13,56,29
12,5,13,57,19
12,5,13,58,9
12,5,13,59,0
12,5,14,43,59
12,5,14,44,49
12,5,14,45,39
12,5,14,46,29
12,5,14,47,19
12,5,14,48,9
12,5,14,49,0
12,5,15,33,59
12,5,15,34,49
12,5,15,35,39
12,5,15,36,29
12,5,15,37,19
12,5,15,38,9
12,5,15,39,0
12,5,16,23,59
12,5,16,24,49
12,5,16,25,39
12,5,16,26,29
12,5,16,27,19
12,5,16,28,9
12,5,16,29,0
12,5,17,13,59
12,5,17,14,49
12,5,17,15,39
12,5,17,16,29
12,5,17,17,19
12,5,17,18,9
12,5,17,19,0
12,5,18,3,59
12,5,18,4,49
12,5,18,5,39
12,5,18,6,29
12,5,18,7,19
12,5,18,8,9
12,5,18,9,0
12,5,19,0,0
12,6,0,8,53
12,6,0,9,43
12,6,0,10,33
12,6,0,11,23
12,6,0,12,13
12,6,0,13,3
12,6,1,0,33
12,6,1,1,23
12,6,1,2,13
12,6,1,3,3
12,6,0,47,51
12,6,0,48,41
12,6,0,49,31
12,6,0,50,21
12,6,0,51,11
12,6,0,52,1
12,6,1,37,51
12,6,1,38,41
12,6,1,39,31
12,6,1,40,21
12,6,1,41,11
12,6,1,42,1
12,6,2,27,51
12,6,2,28,41
12,6,2,29,31
12,6,2,30,21
12,6,2,31,11
12,6,2,32,1
12,6,3,17,51
12,6,3,18,41
12,6,3,19,31
12,6,3,20,21
12,6,3,21,11
12,6,3,22,1
12,6,4,7,51
12,6,4,8,41
12,6,4,9,31
12,6,4,10,21
12,6,4,11,11
12,6,4,12,1
12,6,5,0,21
12,6,5,1,11
12,6,5,2,1
12,6,3,55,59
12,6,3,56,49
12,6,3,57,39
12,6,3,58,29
12,6,3,59,19
12,6,4,45,59
12,6,4,46,49
12,6,4,47,39
12,6,4,48,29
12,6,4,49,19
12,6,4,50,9
12,6,5,35,59
12,6,5,36,49
12,6,5,37,39
12,6,5,38,29
12,6,5,39,19
12,6,5,40,9
12,6,6,25,59
12,6,6,26,49
12,6,6,27,39
12,6,6,28,29
12,6,6,29,19
12,6,6,30,9
12,6,7,15,59
12,6,7,16,49
12,6,7,17,39
12,6,7,18,29
12,6,7,19,19
12,6,7,20,9
12,6,8,5,59
12,6,8,6,49
12,6,8,7,39
12,6,8,8,29
12,6,8,9,19
12,6,8,10,9
12,6,9,0,9
12,6,5,56,53
12,6,5,57,43
12,6,5,58,33
12,6,5,59,23
12,6,6,46,53
12,6,6,47,43
12,6,6,48,33
12,6,6,49,23
12,6,6,50,13
12,6,6,51,3
12,6,7,36,53
12,6,7,37,43
12,6,7,38,33
12,6,7,39,23
12,6,7,40,13
12,6,7,41,3
12,6,8,26,53
12,6,8,27,43
12,6,8,28,33
12,6,8,29,23
12,6,8,30,13
12,6,8,31,3
12,6,9,16,53
12,6,9,17,43
12,6,9,18,33
12,6,9,19,23
12,6,9,20,13
12,6,9,21,3
12,6,10,6,53
12,6,10,7,43
12,6,10,8,33
12,6,10,9,23
12,6,10,10,13
12,6,10,11,3
12,6,11,0,13
12,6,11,1,3
12,6,9,55,51
12,6,9,56,41
12,6,9,57,31
12,6,9,58,21
12,6,9,59,11
12,6,10,45,51
12,6,10,46,41
12,6,10,47,31
12,6,10,48,21
12,6,10,49,11
12,6,10,50,1
12,6,11,35,51
12,6,11,36,41
12,6,11,37,31
12,6,11,38,21
12,6,11,39,11
12,6,11,40,1
12,6,12,25,51
12,6,12,26,41
12,6,12,27,31
12,6,12,28,21
12,6,12,29,11
12,6,12,30,1
12,6,13,15,51
12,6,13,16,41
12,6,13,17,31
12,6,13,18,21
12,6,13,19,11
12,6,13,20,1
12,6,14,5,51
12,6,14,6,41
12,6,14,7,31
12,6,14,8,21
12,6,14,9,11
12,6,14,10,1
12,6,15,0,1
12,6,13,53,59
12,6,13,54,49
12,6,13,55,39
12,6,13,56,29
12,6,13,57,19
12,6,13,58,9
12,6,13,59,0
12,6,14,43,59
12,6,14,44,49
12,6,14,45,39
12,6,14,46,29
12,6,14,47,19
12,6,14,48,9
12,6,14,49,0
12,6,15,33,59
12,6,15,34,49
12,6,15,35,39
12,6,15,36,29
12,6,15,37,19
12,6,15,38,9
12,6,15,39,0
12,6,16,23,59
12,6,16,24,49
12,6,16,25,39
12,6,16,26,29
12,6,16,27,19
12,6,16,28,9
12,6,16,29,0
12,6,17,13,59
12,6,17,14,49
12,6,17,15,39
12,6,17,16,29
12,6,17,17,19
12,6,17,18,9
12,6,17,19,0
12,6,18,3,59
12,6,18,4,49
12,6,18,5,39
12,6,18,6,29
12,6,18,7,19
12,6,18,8,9
12,6,18,9,0
12,6,19,0,0
12,6,0,3,0
12,6,0,8,53
12,6,0,9,43
12,6,0,10,33
12,6,0,11,23
12,6,0,12,13
12,6,0,13,3
12,6,1,0,33
12,6,1,1,23
12,6,1,2,13
12,6,1,3,3
12,6,0,47,51
12,6,0,48,41
12,6,0,49,31
12,6,0,50,21
12,6,0,51,11
12,6,0,52,1
12,6,1,37,51
12,6,1,38,41
12,6,1,39,31
12,6,1,40,21
12,6,1,41,11
12,6,1,42,1
12,6,2,27,51
12,6,2,28,41
12,6,2,29,31
12,6,2,30,21
12,6,2,31,11
12,6,2,32,1
12,6,3,17,51
12,6,3,18,41
12,6,3,19,31
12,6,3,20,21
12,6,3,21,11
12,6,3,22,1
12,6,4,7,51
12,6,4,8,41
12,6,4,9,31
12,6,4,10,21
12,6,4,11,11
12,6,4,12,1
12,6,5,0,21
12,6,5,1,11
12,6,5,2,1
12,6,3,55,59
12,6,3,56,49
12,6,3,57,39
12,6,3,58,29
12,6,3,59,19
12,6,4,45,59
12,6,4,46,49
12,6,4,47,39
12,6,4,48,29
12,6,4,49,19
12,6,4,50,9
12,6,5,35,59
12,6,5,36,49
12,6,5,37,39
12,6,5,38,29
12,6,5,39,19
12,6,5,40,9
12,6,6,25,59
12,6,6,26,49
12,6,6,27,39
12,6,6,28,29
12,6,6,29,19
12,6,6,30,9
12,6,7,15,59
12,6,7,16,49
12,6,7,17,39
12,6,7,18,29
12,6,7,19,19
12,6,7,20,9
12,6,8,5,59
12,6,8,6,49
12,6,8,7,39
12,6,8,8,29
12,6,8,9,19
12,6,8,10,9
12,6,9,0,9
12,6,5,56,53
12,6,5,57,43
12,6,5,58,33
12,6,5,59,23
12,6,6,46,53
12,6,6,47,43
12,6,6,48,33
12,6,6,49,23
12,6,6,50,13
12,6,6,51,3
12,6,7,36,53
12,6,7,37,43
12,6,7,38,33
12,6,7,39,23
12,6,7,40,13
12,6,7,41,3
12,6,8,26,53
12,6,8,27,43
12,6,8,28,33
12,6,8,29,23
12,6,8,30,13
12,6,8,31,3
12,6,9,16,53
12,6,9,17,43
12,6,9,18,33
12,6,9,19,23
12,6,9,20,13
12,6,9,21,3
12,6,10,6,53
12,6,10,7,43
12,6,10,8,33
12,6,10,9,23
12,6,10,10,13
12,6,10,11,3
12,6,11,0,13
12,6,11,1,3
12,6,9,55,51
12,6,9,56,41
12,6,9,57,31
12,6,9,58,21
12,6,9,59,11
12,6,10,45,51
12,6,10,46,41
12,6,10,47,31
12,6,10,48,21
12,6,10,49,11
12,6,10,50,1
12,6,11,35,51
12,6,11,36,41
12,6,11,37,31
12,6,11,38,21
12,6,11,39,11
12,6,11,40,1
12,6,12,25,51
12,6,12,26,41
12,6,12,27,31
12,6,12,28,21
12,6,12,29,11
12,6,12,30,1
12,6,13,15,51
12,6,13,16,41
12,6,13,17,31
12,6,13,18,21
12,6,13,19,11
12,6,13,20,1
12,6,14,5,51
12,6,14,6,41
12,6,14,7,31
12,6,14,8,21
12,6,14,9,11
12,6,14,10,1
12,6,15,0,1
12,6,13,53,59
12,6,13,54,49
12,6,13,55,39
12,6,13,56,29
12,6,13,57,19
12,6,13,58,9
12,6,13,59,0
12,6,14,43,59
12,6,14,44,49
12,6,14,45,39
12,6,14,46,29
12,6,14,47,19
12,6,14,48,9
12,6,14,49,0
12,6,15,33,59
12,6,15,34,49
12,6,15,35,39
12,6,15,36,29
12,6,15,37,19
12,6,15,38,9
12,6,15,39,0
12,6,16,23,59
12,6,16,24,49
12,6,16,25,39
12,6,16,26,29
12,6,16,27,19
12,6,16,28,9
12,6,16,29,0
12,6,17,13,59
12,6,17,14,49
12,6,17,15,39
12,6,17,16,29
12,6,17,17,19
12,6,17,18,9
12,6,17,19,0
12,6,18,3,59
12,6,18,4,49
12,6,18,5,39
12,6,18,6,29
12,6,18,7,19
12,6,18,8,9
12,6,18,9,0
12,6,19,0,0
12,6,6,56,53
12,6,6,57,43
12,6,6,58,33
12,6,6,59,23
12,6,7,46,53
12,6,7,47,43
12,6,7,48,33
12,6,7,49,23
12,6,7,50,13
12,6,7,51,3
12,6,8,36,53
12,6,8,37,43
12,6,8,38,33
12,6,8,39,23
12,6,8,40,13
12,6,8,41,3
12,6,9,26,53
12,6,9,27,43
12,6,9,28,33
12,6,9,29,23
12,6,9,30,13
12,6,9,31,3
12,6,10,16,53
12,6,10,17,43
12,6,10,18,33
12,6,10,19,23
12,6,10,20,13
12,6,10,21,3
12,6,11,6,53
12,6,11,7,43
12,6,11,8,33
12,6,11,9,23
12,6,11,10,13
12,6,11,11,3
12,6,12,0,13
12,6,12,1,3
12,6,10,55,51
12,6,10,56,41
12,6,10,57,31
12,6,10,58,21
12,6,10,59,11
12,6,11,45,51
12,6,11,46,41
12,6,11,47,31
12,6,11,48,21
12,6,11,49,11
12,6,11,50,1
12,6,12,35,51
12,6,12,36,41
12,6,12,37,31
12,6,12,38,21
12,6,12,39,11
12,6,12,40,1
12,6,13,25,51
12,6,13,26,41
12,6,13,27,31
12,6,13,28,21
12,6,13,29,11
12,6,13,30,1
12,6,14,15,51
12,6,14,16,41
12,6,14,17,31
12,6,14,18,21
12,6,14,19,11
12,6,14,20,1
12,6,15,5,51
12,6,15,6,41
12,6,15,7,31
12,6,15,8,21
12,6,15,9,11
12,6,15,10,1
12,6,16,0,1
12,6,14,53,59
12,6,14,54,49
12,6,14,55,39
12,6,14,56,29
12,6,14,57,19
12,6,14,58,9
12,6,15,43,59
12,6,15,44,49
12,6,15,45,39
12,6,15,46,29
12,6,15,47,19
12,6,15,48,9
12,6,16,33,59
12,6,16,34,49
12,6,16,35,39
12,6,16,36,29
12,6,16,37,19
12,6,16,38,9
12,6,17,23,59
12,6,17,24,49
12,6,17,25,39
12,6,17,26,29
12,6,17,27,19
12,6,17,28,9
12,6,18,13,59
12,6,18,14,49
12,6,18,15,39
12,6,18,16,29
12,6,18,17,19
12,6,18,18,9
12,6,19,3,59
12,6,19,4,49
12,6,19,5,39
12,6,19,6,29
12,6,19,7,19
12,6,19,8,9
12,6,16,54,53
12,6,16,55,43
12,6,16,56,33
12,6,16,57,23
12,6,16,58,13
12,6,16,59,3
12,6,17,44,53
12,6,17,45,43
12,6,17,46,33
12,6,17,47,23
12,6,17,48,13
12,6,17,49,3
12,6,18,34,53
12,6,18,35,43
12,6,18,36,33
12,6,18,37,23
12,6,18,38,13
12,6,18,39,3
12,6,19,24,53
12,6,19,25,43
12,6,19,26,33
12,6,19,27,23
12,6,19,28,13
12,6,19,29,3
12,6,20,14,53
12,6,20,15,43
12,6,20,16,33
12,6,20,17,23
12,6,20,18,13
12,6,20,19,3
12,6,21,4,53
12,6,21,5,43
12,6,21,6,33
12,6,21,7,23
12,6,21,8,13
12,6,21,9,3
12,6,20,53,51
12,6,20,54,41
12,6,20,55,31
12,6,20,56,21
12,6,20,57,11
12,6,20,58,1
12,6,21,43,51
12,6,21,44,41
12,6,21,45,31
12,6,21,46,21
12,6,21,47,11
12,6,21,48,1
12,6,22,33,51
12,6,22,34,41
12,6,22,35,31
12,6,22,36,21
12,6,22,37,11
12,6,22,38,1
12,6,23,23,51
12,6,23,24,41
12,6,23,25,31
12,6,23,26,21
12,6,23,27,11
12,6,23,28,1
12,1,0,6,53
12,1,0,7,43
12,1,0,8,33
12,1,0,9,23
12,1,0,10,13
12,1,0,11,3
12,1,1,0,13
12,1,1,1,3
12,1,0,45,51
12,1,0,46,41
12,1,0,47,31
12,1,0,48,21
12,1,0,49,11
12,1,0,50,1
12,1,1,35,51
12,1,1,36,41
12,1,1,37,31
12,1,1,38,21
12,1,1,39,11
12,1,1,40,1
12,1,2,25,51
12,1,2,26,41
12,1,2,27,31
12,1,2,28,21
12,1,2,29,11
12,1,2,30,1
12,1,3,15,51
12,1,3,16,41
12,1,3,17,31
12,1,3,18,21
12,1,3,19,11
12,1,3,20,1
12,1,4,5,51
12,1,4,6,41
12,1,4,7,31
12,1,4,8,21
12,1,4,9,11
12,1,4,10,1
12,1,5,0,1
12,1,3,53,59
12,1,3,54,49
12,1,3,55,39
12,1,3,56,29
12,1,3,57,19
12,1,3,58,9
12,1,3,59,0
12,1,4,43,59
12,1,4,44,49
12,1,4,45,39
12,1,4,46,29
12,1,4,47,19
12,1,4,48,9
12,1,4,49,0
12,1,5,33,59
12,1,5,34,49
12,1,5,35,39
12,1,5,36,29
12,1,5,37,19
12,1,5,38,9
12,1,5,39,0
12,1,6,23,59
12,1,6,24,49
12,1,6,25,39
12,1,6,26,29
12,1,6,27,19
12,1,6,28,9
12,1,6,29,0
12,1,7,13,59
12,1,7,14,49
12,1,7,15,39
12,1,7,16,29
12,1,7,17,19
12,1,7,18,9
12,1,7,19,0
12,1,8,3,59
12,1,8,4,49
12,1,8,5,39
12,1,8,6,29
12,1,8,7,19
12,1,8,8,9
12,1,8,9,0
12,1,0,16,53
12,1,0,17,43
12,1,0,18,33
12,1,0,19,23
12,1,0,20,13
12,1,0,21,3
12,1,1,6,53
12,1,1,7,43
12,1,1,8,33
12,1,1,9,23
12,1,1,10,13
12,1,1,11,3
12,1,2,0,13
12,1,2,1,3
12,1,0,55,51
12,1,0,56,41
12,1,0,57,31
12,1,0,58,21
12,1,0,59,11
12,1,1,45,51
12,1,1,46,41
12,1,1,47,31
12,1,1,48,21
12,1,1,49,11
12,1,1,50,1
12,1,2,35,51
12,1,2,36,41
12,1,2,37,31
12,1,2,38,21
12,1,2,39,11
12,1,2,40,1
12,1,3,25,51
12,1,3,26,41
12,1,3,27,31
12,1,3,28,21
12,1,3,29,11
12,1,3,30,1
12,1,4,15,51
12,1,4,16,41
12,1,4,17,31
12,1,4,18,21
12,1,4,19,11
12,1,4,20,1
12,1,5,5,51
12,1,5,6,41
12,1,5,7,31
12,1,5,8,21
12,1,5,9,11
12,1,5,10,1
12,1,6,0,1
12,1,4,53,59
12,1,4,54,49
12,1,4,55,39
12,1,4,56,29
12,1,4,57,19
12,1,4,58,9
12,1,5,43,59
12,1,5,44,49
12,1,5,45,39
12,1,5,46,29
12,1,5,47,19
12,1,5,48,9
12,1,6,33,59
12,1,6,34,49
12,1,6,35,39
12,1,6,36,29
12,1,6,37,19
12,1,6,38,9
12,1,7,23,59
12,1,7,24,49
12,1,7,25,39
12,1,7,26,29
12,1,7,27,19
12,1,7,28,9
12,1,8,13,59
12,1,8,14,49
12,1,8,15,39
12,1,8,16,29
12,1,8,17,19
12,1,8,18,9
12,1,9,3,59
12,1,9,4,49
12,1,9,5,39
12,1,9,6,29
12,1,9,7,19
12,1,9,8,9
12,1,6,54,53
12,1,6,55,43
12,1,6,56,33
12,1,6,57,23
12,1,6,58,13
12,1,6,59,3
12,1,7,44,53
12,1,7,45,43
12,1,7,46,33
12,1,7,47,23
12,1,7,48,13
12,1,7,49,3
12,1,8,34,53
12,1,8,35,43
12,1,8,36,33
12,1,8,37,23
12,1,8,38,13
12,1,8,39,3
12,1,9,24,53
12,1,9,25,43
12,1,9,26,33
12,1,9,27,23
12,1,9,28,13
12,1,9,29,3
12,1,10,14,53
12,1,10,15,43
12,1,10,16,33
12,1,10,17,23
12,1,10,18,13
12,1,10,19,3
12,1,11,4,53
12,1,11,5,43
12,1,11,6,33
12,1,11,7,23
12,1,11,8,13
12,1,11,9,3
12,1,10,53,51
12,1,10,54,41
12,1,10,55,31
12,1,10,56,21
12,1,10,57,11
12,1,10,58,1
12,1,11,43,51
12,1,11,44,41
12,1,11,45,31
12,1,11,46,21
12,1,11,47,11
12,1,11,48,1
12,1,12,33,51
12,1,12,34,41
12,1,12,35,31
12,1,12,36,21
12,1,12,37,11
12,1,12,38,1
12,1,13,23,51
12,1,13,24,41
12,1,13,25,31
12,1,13,26,21
12,1,13,27,11
12,1,13,28,1
12,1,14,13,51
12,1,14,14,41
12,1,14,15,31
12,1,14,16,21
12,1,14,17,11
12,1,14,18,1
12,1,15,3,51
12,1,15,4,41
12,1,15,5,31
12,1,15,6,21
12,1,15,7,11
12,1,15,8,1
12,1,14,51,59
12,1,14,52,49
12,1,14,53,39
12,1,14,54,29
12,1,14,55,19
12,1,14,56,9
12,1,14,57,0
12,1,15,41,59
12,1,15,42,49
12,1,15,43,39
12,1,15,44,29
12,1,15,45,19
12,1,15,46,9
12,1,15,47,0
12,1,16,31,59
12,1,16,32,49
12,1,16,33,39
12,1,16,34,29
12,1,16,35,19
12,1,16,36,9
12,1,16,37,0
12,1,17,21,59
12,1,17,22,49
12,1,17,23,39
12,1,17,24,29
12,1,17,25,19
12,1,17,26,9
12,1,17,27,0
12,1,18,11,59
12,1,18,12,49
12,1,18,13,39
12,1,18,14,29
12,1,18,15,19
12,1,18,16,9
12,1,18,17,0
12,1,19,1,59
12,1,19,2,49
12,1,19,3,39
12,1,19,4,29
12,1,19,5,19
12,1,19,6,9
12,1,19,7,0
12,1,16,52,53
12,1,16,53,43
12,1,16,54,33
12,1,16,55,23
12,1,16,56,13
12,1,16,57,3
12,1,17,42,53
12,1,17,43,43
12,1,17,44,33
12,1,17,45,23
12,1,17,46,13
12,1,17,47,3
12,1,18,32,53
12,1,18,33,43
12,1,18,34,33
12,1,18,35,23
12,1,18,36,13
12,1,18,37,3
12,1,19,22,53
12,1,19,23,43
12,1,19,24,33
12,1,19,25,23
12,1,19,26,13
12,1,19,27,3
12,1,20,12,53
12,1,20,13,43
12,1,20,14,33
12,1,20,15,23
12,1,20,16,13
12,1,20,17,3
12,1,21,2,53
12,1,21,3,43
12,1,21,4,33
12,1,21,5,23
12,1,21,6,13
12,1,21,7,3
12,1,20,51,51
12,1,20,52,41
12,1,20,53,31
12,1,20,54,21
12,1,20,55,11
12,1,20,56,1
12,1,21,41,51
12,1,21,42,41
12,1,21,43,31
12,1,21,44,21
12,1,21,45,11
12,1,21,46,1
12,1,22,31,51
12,1,22,32,41
12,1,22,33,31
12,1,22,34,21
12,1,22,35,11
12,1,22,36,1
12,1,23,21,51
12,1,23,22,41
12,1,23,23,31
12,1,23,24,21
12,1,23,25,11
12,1,23,26,1
12,1,23,59,59
12,2,0,6,53
12,2,0,7,43
12,2,0,8,33
12,2,0,9,23
12,2,0,10,13
12,2,0,11,3
12,2,1,0,13
12,2,1,1,3
12,2,0,45,51
12,2,0,46,41
12,2,0,47,31
12,2,0,48,21
12,2,0,49,11
12,2,0,50,1
12,2,1,35,51
12,2,1,36,41
12,2,1,37,31
12,2,1,38,21
12,2,1,39,11
12,2,1,40,1
12,2,2,25,51
12,2,2,26,41
12,2,2,27,31
12,2,2,28,21
12,2,2,29,11
12,2,2,30,1
12,2,3,15,51
12,2,3,16,41
12,2,3,17,31
12,2,3,18,21
12,2,3,19,11
12,2,3,20,1
12,2,4,5,51
12,2,4,6,41
12,2,4,7,31
12,2,4,8,21
12,2,4,9,11
12,2,4,10,1
12,2,5,0,1
12,2,3,53,59
12,2,3,54,49
12,2,3,55,39
12,2,3,56,29
12,2,3,57,19
12,2,3,58,9
12,2,3,59,0
12,2,4,43,59
12,2,4,44,49
12,2,4,45,39
12,2,4,46,29
12,2,4,47,19
12,2,4,48,9
12,2,4,49,0
12,2,5,33,59
12,2,5,34,49
12,2,5,35,39
12,2,5,36,29
12,2,5,37,19
12,2,5,38,9
12,2,5,39,0
12,2,6,23,59
12,2,6,24,49
12,2,6,25,39
12,2,6,26,29
12,2,6,27,19
12,2,6,28,9
12,2,6,29,0
12,2,7,13,59
12,2,7,14,49
12,2,7,15,39
12,2,7,16,29
12,2,7,17,19
12,2,7,18,9
12,2,7,19,0
12,2,8,3,59
12,2,8,4,49
12,2,8,5,39
12,2,8,6,29
12,2,8,7,19
12,2,8,8,9
12,2,8,9,0
12,2,0,16,53
12,2,0,17,43
12,2,0,18,33
12,2,0,19,23
12,2,0,20,13
12,2,0,21,3
12,2,1,6,53
12,2,1,7,43
12,2,1,8,33
12,2,1,9,23
12,2,1,10,13
12,2,1,11,3
12,2,2,0,13
12,2,2,1,3
12,2,0,55,51
12,2,0,56,41
12,2,0,57,31
12,2,0,58,21
12,2,0,59,11
12,2,1,45,51
12,2,1,46,41
12,2,1,47,31
12,2,1,48,21
12,2,1,49,11
12,2,1,50,1
12,2,2,35,51
12,2,2,36,41
12,2,2,37,31
12,2,2,38,21
12,2,2,39,11
12,2,2,40,1
12,2,3,25,51
12,2,3,26,41
12,2,3,27,31
12,2,3,28,21
12,2,3,29,11
12,2,3,30,1
12,2,4,15,51
12,2,4,16,41
12,2,4,17,31
12,2,4,18,21
12,2,4,19,11
12,2,4,20,1
12,2,5,5,51
12,2,5,6,41
12,2,5,7,31
12,2,5,8,21
12,2,5,9,11
12,2,5,10,1
12,2,6,0,1
12,2,4,53,59
12,2,4,54,49
12,2,4,55,39
12,2,4,56,29
12,2,4,57,19
12,2,4,58,9
12,2,5,43,59
12,2,5,44,49
12,2,5,45,39
12,2,5,46,29
12,2,5,47,19
12,2,5,48,9
12,2,6,33,59
12,2,6,34,49
12,2,6,35,39
12,2,6,36,29
12,2,6,37,19
12,2,6,38,9
12,2,7,23,59
12,2,7,24,49
12,2,7,25,39
12,2,7,26,29
12,2,7,27,19
12,2,7,28,9
12,2,8,13,59
12,2,8,14,49
12,2,8,15,39
12,2,8,16,29
12,2,8,17,19
12,2,8,18,9
12,2,9,3,59
12,2,9,4,49
12,2,9,5,39
12,2,9,6,29
12,2,9,7,19
12,2,9,8,9
12,2,6,54,53
12,2,6,55,43
12,2,6,56,33
12,2,6,57,23
12,2,6,58,13
12,2,6,59,3
12,2,7,44,53
12,2,7,45,43
12,2,7,46,33
12,2,7,47,23
12,2,7,48,13
12,2,7,49,3
12,2,8,34,53
12,2,8,35,43
12,2,8,36,33
12,2,8,37,23
12,2,8,38,13
12,2,8,39,3
12,2,9,24,53
12,2,9,25,43
12,2,9,26,33
12,2,9,27,23
12,2,9,28,13
12,2,9,29,3
12,2,10,14,53
12,2,10,15,43
12,2,10,16,33
12,2,10,17,23
12,2,10,18,13
12,2,10,19,3
12,2,11,4,53
12,2,11,5,43
12,2,11,6,33
12,2,11,7,23
12,2,11,8,13
12,2,11,9,3
12,2,10,53,51
12,2,10,54,41
12,2,10,55,31
12,2,10,56,21
12,2,10,57,11
12,2,10,58,1
12,2,11,43,51
12,2,11,44,41
12,2,11,45,31
12,2,11,46,21
12,2,11,47,11
12,2,11,48,1
12,2,12,33,51
12,2,12,34,41
12,2,12,35,31
12,2,12,36,21
12,2,12,37,11
12,2,12,38,1
12,2,13,23,51
12,2,13,24,41
12,2,13,25,31
12,2,13,26,21
12,2,13,27,11
12,2,13,28,1
12,2,14,13,51
12,2,14,14,41
12,2,14,15,31
12,2,14,16,21
12,2,14,17,11
12,2,14,18,1
12,2,15,3,51
12,2,15,4,41
12,2,15,5,31
12,2,15,6,21
12,2,15,7,11
12,2,15,8,1
12,2,14,51,59
12,2,14,52,49
12,2,14,53,39
12,2,14,54,29
12,2,14,55,19
12,2,14,56,9
12,2,14,57,0
12,2,15,41,59
12,2,15,42,49
12,2,15,43,39
12,2,15,44,29
12,2,15,45,19
12,2,15,46,9
12,2,15,47,0
12,2,16,31,59
12,2,16,32,49
12,2,16,33,39
12,2,16,34,29
12,2,16,35,19
12,2,16,36,9
12,2,16,37,0
12,2,17,21,59
12,2,17,22,49
12,2,17,23,39
12,2,17,24,29
12,2,17,25,19
12,2,17,26,9
12,2,17,27,0
12,2,18,11,59
12,2,18,12,49
12,2,18,13,39
12,2,18,14,29
12,2,18,15,19
12,2,18,16,9
12,2,18,17,0
12,2,19,1,59
12,2,19,2,49
12,2,19,3,39
12,2,19,4,29
12,2,19,5,19
12,2,19,6,9
12,2,19,7,0
12,2,16,52,53
12,2,16,53,43
12,2,16,54,33
12,2,16,55,23
12,2,16,56,13
12,2,16,57,3
12,2,17,42,53
12,2,17,43,43
12,2,17,44,33
12,2,17,45,23
12,2,17,46,13
12,2,17,47,3
12,2,18,32,53
12,2,18,33,43
12,2,18,34,33
12,2,18,35,23
12,2,18,36,13
12,2,18,37,3
12,2,19,22,53
12,2,19,23,43
12,2,19,24,33
12,2,19,25,23
12,2,19,26,13
12,2,19,27,3
12,2,20,12,53
12,2,20,13,43
12,2,20,14,33
12,2,20,15,23
12,2,20,16,13
12,2,20,17,3
12,2,21,2,53
12,2,21,3,43
12,2,21,4,33
12,2,21,5,23
12,2,21,6,13
12,2,21,7,3
12,2,20,51,51
12,2,20,52,41
12,2,20,53,31
12,2,20,54,21
12,2,20,55,11
12,2,20,56,1
12,2,21,41,51
12,2,21,42,41
12,2,21,43,31
12,2,21,44,21
12,2,21,45,11
12,2,21,46,1
12,2,22,31,51
12,2,22,32,41
12,2,22,33,31
12,2,22,34,21
12,2,22,35,11
12,2,22,36,1
12,2,23,21,51
12,2,23,22,41
12,2,23,23,31
12,2,23,24,21
12,2,23,25,11
12,2,23,26,1
12,2,23,59,59
12,3,0,6,53
12,3,0,7,43
12,3,0,8,33
12,3,0,9,23
12,3,0,10,13
12,3,0,11,3
12,3,1,0,13
12,3,1,1,3
12,3,0,45,51
12,3,0,46,41
12,3,0,47,31
12,3,0,48,21
12,3,0,49,11
12,3,0,50,1
12,3,1,35,51
12,3,1,36,41
12,3,1,37,31
12,3,1,38,21
12,3,1,39,11
12,3,1,40,1
12,3,2,25,51
12,3,2,26,41
12,3,2,27,31
12,3,2,28,21
12,3,2,29,11
12,3,2,30,1
12,3,3,15,51
12,3,3,16,41
12,3,3,17,31
12,3,3,18,21
